event_id,timestamp,pid,ppid,attack_id,label
1,26/05/2025 11:31:32,1348,828,A1,benign
2,26/05/2025 11:31:32,10948,7220,A1,benign
3,26/05/2025 11:31:32,7220,1452,A1,benign
4,26/05/2025 11:31:32,9888,1452,A1,benign
5,26/05/2025 11:31:26,10512,1452,A1,benign
6,26/05/2025 11:31:15,8684,1452,A1,benign
7,26/05/2025 11:30:29,4872,980,A1,benign
8,26/05/2025 11:30:29,8332,3372,A1,benign
9,26/05/2025 11:29:58,11080,9204,A1,benign
10,26/05/2025 11:29:53,3456,7012,A1,benign
11,26/05/2025 11:29:52,7252,980,A1,benign
12,26/05/2025 11:29:52,6556,9204,A1,benign
13,26/05/2025 11:29:36,11164,1320,A1,benign
14,26/05/2025 11:29:36,1320,1452,A1,benign
15,26/05/2025 11:29:30,1132,1452,A1,benign
16,26/05/2025 11:29:25,6468,1452,A1,benign
17,26/05/2025 11:29:12,6776,9204,A1,benign
18,26/05/2025 11:29:09,4832,9204,A1,benign
19,26/05/2025 11:29:09,7820,9204,A1,benign
20,26/05/2025 11:29:09,4992,9372,A1,benign
21,26/05/2025 11:29:08,4208,9204,A1,benign
22,26/05/2025 11:29:08,6532,9204,A1,benign
23,26/05/2025 11:29:07,3728,4936,A1,benign
24,26/05/2025 11:29:06,3136,980,A1,benign
25,26/05/2025 11:29:06,2972,980,A1,benign
26,26/05/2025 11:29:06,2616,1452,A1,benign
27,26/05/2025 11:29:03,2436,980,A1,benign
28,26/05/2025 11:29:00,1720,980,A1,benign
29,26/05/2025 11:28:58,4564,9204,A1,benign
30,26/05/2025 11:28:53,11180,968,A1,benign
31,26/05/2025 11:28:53,968,1452,A1,benign
32,26/05/2025 11:28:50,3352,10596,A1,benign
33,26/05/2025 11:28:50,10996,10596,A1,benign
34,26/05/2025 11:28:50,11036,10596,A1,benign
35,26/05/2025 11:28:50,9484,10596,A1,benign
36,26/05/2025 11:28:50,3452,980,A1,benign
37,26/05/2025 11:28:50,1496,10596,A1,benign
38,26/05/2025 11:28:49,10596,6056,A1,benign
39,26/05/2025 11:28:33,11260,828,A1,benign
40,26/05/2025 11:28:33,9392,828,A1,benign
41,26/05/2025 11:28:33,8916,828,A1,benign
42,26/05/2025 11:28:31,6728,828,A1,benign
43,26/05/2025 11:28:31,8592,980,A1,benign
44,26/05/2025 11:28:31,7720,11020,A1,benign
45,26/05/2025 11:28:31,5948,828,A1,benign
46,26/05/2025 11:28:30,8104,828,A1,benign
47,26/05/2025 11:28:30,7404,828,A1,benign
48,26/05/2025 11:28:30,10956,10884,A1,benign
49,26/05/2025 11:28:30,10884,828,A1,benign
50,26/05/2025 11:28:29,11020,4044,A1,benign
51,26/05/2025 11:28:29,10568,828,A1,benign
52,26/05/2025 11:28:29,10408,828,A1,benign
53,26/05/2025 11:28:29,4044,828,A1,benign
54,26/05/2025 11:28:28,5056,980,A1,benign
55,26/05/2025 11:28:27,2432,980,A1,benign
56,26/05/2025 11:28:27,4432,980,A1,benign
57,26/05/2025 11:28:27,3676,980,A1,benign
58,26/05/2025 11:28:27,3440,980,A1,benign
59,26/05/2025 11:28:26,10736,980,A1,benign
60,26/05/2025 11:28:26,3116,980,A1,benign
61,26/05/2025 11:28:25,4728,980,A1,benign
62,26/05/2025 11:28:24,10596,2012,A1,benign
63,26/05/2025 11:28:24,2012,1452,A1,benign
64,26/05/2025 11:28:24,1348,980,A1,benign
65,26/05/2025 11:28:24,620,980,A1,benign
66,26/05/2025 11:28:24,7628,980,A1,benign
67,26/05/2025 11:28:24,7488,980,A1,benign
68,26/05/2025 11:28:24,7988,980,A1,benign
69,26/05/2025 11:28:24,5240,980,A1,benign
70,26/05/2025 11:28:24,6212,980,A1,benign
71,26/05/2025 11:28:16,10484,9204,A1,benign
72,26/05/2025 11:27:59,9504,828,A1,benign
73,26/05/2025 11:27:59,10112,828,A1,benign
74,26/05/2025 11:27:59,11244,9204,A1,benign
75,26/05/2025 11:27:58,11212,9204,A1,benign
76,26/05/2025 11:27:54,11144,980,A1,benign
77,26/05/2025 11:27:46,11000,10876,A1,benign
78,26/05/2025 11:27:45,10972,7844,A1,benign
79,26/05/2025 11:27:44,10876,828,A1,benign
80,26/05/2025 11:27:38,10820,1452,A1,benign
81,26/05/2025 11:27:28,10684,9204,A1,benign
82,26/05/2025 11:27:28,10668,9204,A1,benign
83,26/05/2025 11:27:28,10660,9204,A1,benign
84,26/05/2025 11:27:27,10616,980,A1,benign
85,26/05/2025 11:27:26,10588,1452,A1,benign
86,26/05/2025 11:27:12,10448,980,A1,benign
87,26/05/2025 11:27:11,10376,1452,A1,benign
88,26/05/2025 11:27:10,10344,752,A1,benign
89,26/05/2025 11:27:09,8968,9372,A1,benign
90,26/05/2025 11:27:09,9344,9372,A1,benign
91,26/05/2025 11:27:09,1120,9372,A1,benign
92,26/05/2025 11:27:09,1328,9372,A1,benign
93,26/05/2025 11:27:08,5740,9372,A1,benign
94,26/05/2025 11:27:08,9372,9628,A1,benign
95,26/05/2025 11:27:08,4620,980,A1,benign
96,26/05/2025 11:27:07,9628,2704,A1,benign
97,26/05/2025 11:27:03,10200,980,A1,benign
98,26/05/2025 11:27:02,10084,980,A1,benign
99,26/05/2025 11:27:02,9944,828,A1,benign
100,26/05/2025 11:27:02,9892,1452,A1,benign
101,26/05/2025 11:27:01,9856,9204,A1,benign
102,26/05/2025 11:27:00,9704,9204,A1,benign
103,26/05/2025 11:27:00,9696,9204,A1,benign
104,26/05/2025 11:27:00,9684,9204,A1,benign
105,26/05/2025 11:27:00,9608,4936,A1,benign
106,26/05/2025 11:27:00,9600,9204,A1,benign
107,26/05/2025 11:26:59,9476,9204,A1,benign
108,26/05/2025 11:26:59,9448,9204,A1,benign
109,26/05/2025 11:26:59,9356,980,A1,benign
110,26/05/2025 11:26:58,8792,9204,A1,benign
111,26/05/2025 11:26:58,8836,828,A1,benign
112,26/05/2025 11:26:58,8840,9204,A1,benign
113,26/05/2025 11:26:58,8824,9204,A1,benign
114,26/05/2025 11:26:58,8512,9204,A1,benign
115,26/05/2025 11:26:57,9204,4936,A1,benign
116,26/05/2025 11:26:57,9136,828,A1,benign
117,26/05/2025 11:26:57,9116,4936,A1,benign
118,26/05/2025 11:26:56,9072,828,A1,benign
119,26/05/2025 11:26:56,8900,980,A1,benign
120,26/05/2025 11:26:55,8856,980,A1,benign
121,26/05/2025 11:26:55,8796,980,A1,benign
122,26/05/2025 11:26:55,8676,828,A1,benign
123,26/05/2025 11:26:55,8656,1740,A1,benign
124,26/05/2025 11:26:52,8380,980,A1,benign
125,26/05/2025 11:26:52,8272,980,A1,benign
126,26/05/2025 11:26:52,8236,980,A1,benign
127,26/05/2025 11:26:51,5768,980,A1,benign
128,26/05/2025 11:26:51,7388,980,A1,benign
129,26/05/2025 11:26:51,5728,7844,A1,benign
130,26/05/2025 11:26:50,7844,4936,A1,benign
131,26/05/2025 11:26:50,7672,980,A1,benign
132,26/05/2025 11:26:50,5444,980,A1,benign
133,26/05/2025 11:26:49,7568,980,A1,benign
134,26/05/2025 11:26:49,5900,7388,A1,benign
135,26/05/2025 11:26:49,7388,3508,A1,benign
136,26/05/2025 11:26:49,8032,980,A1,benign
137,26/05/2025 11:26:48,7100,7564,A1,benign
138,26/05/2025 11:26:48,7564,3508,A1,benign
139,26/05/2025 11:26:48,7392,828,A1,benign
140,26/05/2025 11:26:48,7384,980,A1,benign
141,26/05/2025 11:26:48,6064,6000,A1,benign
142,26/05/2025 11:26:48,6000,3508,A1,benign
143,26/05/2025 11:26:47,5756,7012,A1,benign
144,26/05/2025 11:26:47,8164,8156,A1,benign
145,26/05/2025 11:26:47,8156,3508,A1,benign
146,26/05/2025 11:26:47,8112,980,A1,benign
147,26/05/2025 11:26:47,8048,4268,A1,benign
148,26/05/2025 11:26:47,7992,7972,A1,benign
149,26/05/2025 11:26:47,7972,3508,A1,benign
150,26/05/2025 11:26:47,7940,980,A1,benign
151,26/05/2025 11:26:46,7848,7840,A1,benign
152,26/05/2025 11:26:46,7840,3508,A1,benign
153,26/05/2025 11:26:46,7772,980,A1,benign
154,26/05/2025 11:26:46,7676,980,A1,benign
155,26/05/2025 11:26:46,7628,7464,A1,benign
156,26/05/2025 11:26:46,7560,7544,A1,benign
157,26/05/2025 11:26:46,7544,3508,A1,benign
158,26/05/2025 11:26:46,7536,7464,A1,benign
159,26/05/2025 11:26:46,7464,980,A1,benign
160,26/05/2025 11:26:45,7412,980,A1,benign
161,26/05/2025 11:26:45,7368,7344,A1,benign
162,26/05/2025 11:26:45,7344,3508,A1,benign
163,26/05/2025 11:26:45,7300,7240,A1,benign
164,26/05/2025 11:26:45,7240,828,A1,benign
165,26/05/2025 11:26:44,7012,828,A1,benign
166,26/05/2025 11:26:43,6596,828,A1,benign
167,26/05/2025 11:26:43,6576,980,A1,benign
168,26/05/2025 11:26:43,5732,828,A1,benign
169,26/05/2025 11:26:43,6432,980,A1,benign
170,26/05/2025 11:26:42,6964,980,A1,benign
171,26/05/2025 11:26:42,6844,980,A1,benign
172,26/05/2025 11:26:42,6760,980,A1,benign
173,26/05/2025 11:26:42,6724,980,A1,benign
174,26/05/2025 11:26:41,6372,980,A1,benign
175,26/05/2025 11:26:41,6356,980,A1,benign
176,26/05/2025 11:26:40,6244,828,A1,benign
177,26/05/2025 11:26:39,6132,828,A1,benign
178,26/05/2025 11:26:39,6116,828,A1,benign
179,26/05/2025 11:26:39,6068,980,A1,benign
180,26/05/2025 11:26:39,6056,980,A1,benign
181,26/05/2025 11:26:39,6024,5996,A1,benign
182,26/05/2025 11:26:39,5996,3508,A1,benign
183,26/05/2025 11:26:38,5980,980,A1,benign
184,26/05/2025 11:26:38,5860,980,A1,benign
185,26/05/2025 11:26:38,5852,980,A1,benign
186,26/05/2025 11:26:38,5724,980,A1,benign
187,26/05/2025 11:26:37,5584,980,A1,benign
188,26/05/2025 11:26:37,5512,5504,A1,benign
189,26/05/2025 11:26:37,5504,3508,A1,benign
190,26/05/2025 11:26:36,5404,2588,A1,benign
191,26/05/2025 11:26:36,5248,5176,A1,benign
192,26/05/2025 11:26:36,5176,3508,A1,benign
193,26/05/2025 11:26:35,5160,828,A1,benign
194,26/05/2025 11:26:35,4200,828,A1,benign
195,26/05/2025 11:26:35,4744,828,A1,benign
196,26/05/2025 11:26:34,5060,2704,A1,benign
197,26/05/2025 11:26:33,5004,1452,A1,benign
198,26/05/2025 11:26:33,4936,4852,A1,benign
199,26/05/2025 11:26:33,4868,4844,A1,benign
200,26/05/2025 11:26:33,4852,752,A1,benign
201,26/05/2025 11:26:33,4844,3508,A1,benign
202,26/05/2025 11:26:32,4800,828,A1,benign
203,26/05/2025 11:26:32,4720,3164,A1,benign
204,26/05/2025 11:26:32,4652,828,A1,benign
205,26/05/2025 11:26:32,4604,828,A1,benign
206,26/05/2025 11:26:32,4416,1452,A1,benign
207,26/05/2025 11:26:32,4360,828,A1,benign
208,26/05/2025 11:26:31,4308,1452,A1,benign
209,26/05/2025 11:26:31,4292,1452,A1,benign
210,26/05/2025 11:26:31,4268,1452,A1,benign
211,26/05/2025 11:26:31,4192,828,A1,benign
212,26/05/2025 11:26:31,4152,828,A1,benign
213,26/05/2025 11:26:31,1952,828,A1,benign
214,26/05/2025 11:26:31,4016,980,A1,benign
215,26/05/2025 11:26:31,2704,1608,A1,benign
216,26/05/2025 11:26:30,1752,828,A1,benign
217,26/05/2025 11:26:30,3152,2588,A1,benign
218,26/05/2025 11:26:29,3820,1452,A1,benign
219,26/05/2025 11:26:29,3584,980,A1,benign
220,26/05/2025 11:26:29,3508,828,A1,benign
221,26/05/2025 11:26:28,3380,828,A1,benign
222,26/05/2025 11:26:28,3372,828,A1,benign
223,26/05/2025 11:26:28,3344,828,A1,benign
224,26/05/2025 11:26:28,3312,828,A1,benign
225,26/05/2025 11:26:28,3296,828,A1,benign
226,26/05/2025 11:26:28,3268,980,A1,benign
227,26/05/2025 11:26:28,3192,828,A1,benign
228,26/05/2025 11:26:28,3176,828,A1,benign
229,26/05/2025 11:26:28,3164,828,A1,benign
230,26/05/2025 11:26:28,3096,828,A1,benign
231,26/05/2025 11:26:28,2596,828,A1,benign
232,26/05/2025 11:26:28,3048,828,A1,benign
233,26/05/2025 11:26:27,2952,2528,A1,benign
234,26/05/2025 11:26:27,2916,828,A1,benign
235,26/05/2025 11:26:27,2908,1452,A1,benign
236,26/05/2025 11:26:27,2816,828,A1,benign
237,26/05/2025 11:26:27,2704,2588,A1,benign
238,26/05/2025 11:26:27,2688,828,A1,benign
239,26/05/2025 11:26:27,2632,828,A1,benign
240,26/05/2025 11:26:27,2588,828,A1,benign
241,26/05/2025 11:26:27,2576,1452,A1,benign
242,26/05/2025 11:26:27,2528,828,A1,benign
243,26/05/2025 11:26:27,2496,828,A1,benign
244,26/05/2025 11:26:26,2424,828,A1,benign
245,26/05/2025 11:26:26,2276,828,A1,benign
246,26/05/2025 11:26:26,2268,828,A1,benign
247,26/05/2025 11:26:26,2228,828,A1,benign
248,26/05/2025 11:26:26,2180,828,A1,benign
249,26/05/2025 11:26:26,2108,828,A1,benign
250,26/05/2025 11:26:26,2100,4,A1,benign
251,26/05/2025 11:26:25,1988,828,A1,benign
252,26/05/2025 11:26:25,1980,828,A1,benign
253,26/05/2025 11:26:25,1972,828,A1,benign
254,26/05/2025 11:26:25,1964,828,A1,benign
255,26/05/2025 11:26:25,1952,1452,A1,benign
256,26/05/2025 11:26:25,1908,1452,A1,benign
257,26/05/2025 11:26:25,1864,828,A1,benign
258,26/05/2025 11:26:25,1840,828,A1,benign
259,26/05/2025 11:26:24,1740,828,A1,benign
260,26/05/2025 11:26:24,1728,828,A1,benign
261,26/05/2025 11:26:24,1704,828,A1,benign
262,26/05/2025 11:26:24,1616,828,A1,benign
263,26/05/2025 11:26:24,1608,828,A1,benign
264,26/05/2025 11:26:24,1552,828,A1,benign
265,26/05/2025 11:26:24,1452,828,A1,benign
266,26/05/2025 11:26:24,1440,828,A1,benign
267,26/05/2025 11:26:24,1420,828,A1,benign
268,26/05/2025 11:26:24,1336,828,A1,benign
269,26/05/2025 11:26:24,1284,828,A1,benign
270,26/05/2025 11:26:24,1260,828,A1,benign
271,26/05/2025 11:26:24,1172,828,A1,benign
272,26/05/2025 11:26:24,1164,828,A1,benign
273,26/05/2025 11:26:24,1156,828,A1,benign
274,26/05/2025 11:26:24,1148,828,A1,benign
275,26/05/2025 11:26:24,1092,752,A1,benign
276,26/05/2025 11:26:24,1084,752,A1,benign
277,26/05/2025 11:26:23,864,828,A1,benign
278,26/05/2025 11:26:23,672,828,A1,benign
279,26/05/2025 11:26:23,1012,680,A1,benign
280,26/05/2025 11:26:23,1008,752,A1,benign
281,26/05/2025 11:26:23,980,828,A1,benign
282,26/05/2025 11:26:22,848,680,A1,benign
283,26/05/2025 11:26:22,828,680,A1,benign
284,26/05/2025 11:26:21,752,672,A1,benign
285,26/05/2025 11:26:21,688,672,A1,benign
286,26/05/2025 11:26:21,680,596,A1,benign
287,26/05/2025 11:26:21,672,456,A1,benign
288,26/05/2025 11:26:21,608,596,A1,benign
289,26/05/2025 11:26:20,596,456,A1,benign
290,26/05/2025 11:26:20,488,456,A1,benign
291,26/05/2025 11:26:18,456,4,A1,benign
292,26/05/2025 11:26:18,124,4,A1,benign
293,25/05/2025 17:26:54,6120,824,A1,benign
294,25/05/2025 17:26:54,4696,2900,A1,benign
295,25/05/2025 17:26:53,2120,744,A1,benign
296,25/05/2025 17:26:49,4508,980,A1,benign
297,25/05/2025 17:26:49,2460,824,A1,benign
298,25/05/2025 17:26:47,1212,4896,A1,benign
299,25/05/2025 17:26:47,6456,4896,A1,benign
300,25/05/2025 17:26:47,4136,4896,A1,benign
301,25/05/2025 17:26:47,2508,4896,A1,benign
302,25/05/2025 17:26:42,6540,980,A1,benign
303,25/05/2025 17:26:42,7392,980,A1,benign
304,25/05/2025 17:26:42,2184,4896,A1,benign
305,25/05/2025 17:26:42,7412,4896,A1,benign
306,25/05/2025 17:26:42,7476,980,A1,benign
307,25/05/2025 17:26:42,8740,4896,A1,benign
308,25/05/2025 17:26:42,792,4896,A1,benign
309,25/05/2025 17:26:42,4232,824,A1,benign
310,25/05/2025 17:26:42,3228,4896,A1,benign
311,25/05/2025 17:26:42,4284,4896,A1,benign
312,25/05/2025 17:26:42,6328,4896,A1,benign
313,25/05/2025 17:26:42,4896,8308,A1,benign
314,25/05/2025 17:22:52,1684,824,A1,benign
315,25/05/2025 17:22:52,9468,824,A1,benign
316,25/05/2025 17:22:52,4844,980,A1,benign
317,25/05/2025 17:22:51,9460,5148,A1,benign
318,25/05/2025 17:22:51,5148,1920,A1,benign
319,25/05/2025 17:22:51,6708,980,A1,benign
320,25/05/2025 17:22:51,1156,824,A1,benign
321,25/05/2025 17:22:51,8276,2740,A1,benign
322,25/05/2025 17:22:51,2740,1556,A1,benign
323,25/05/2025 17:22:51,2184,1556,A1,benign
324,25/05/2025 17:22:50,3816,7952,A1,benign
325,25/05/2025 17:21:30,9424,5852,A1,benign
326,25/05/2025 17:21:08,944,5852,A1,benign
327,25/05/2025 17:20:51,6740,824,A1,benign
328,25/05/2025 17:20:50,6872,5852,A1,benign
329,25/05/2025 17:18:48,8972,5616,A1,benign
330,25/05/2025 17:18:46,1772,824,A1,benign
331,25/05/2025 17:18:31,8196,5616,A1,benign
332,25/05/2025 17:18:31,5504,5616,A1,benign
333,25/05/2025 17:18:19,2496,980,A1,benign
334,25/05/2025 17:18:19,4600,980,A1,benign
335,25/05/2025 17:18:19,4572,824,A1,benign
336,25/05/2025 17:18:14,1904,5616,A1,benign
337,25/05/2025 17:17:35,7076,5616,A1,benign
338,25/05/2025 17:16:58,2540,5616,A1,benign
339,25/05/2025 17:16:41,5736,2900,A1,benign
340,25/05/2025 17:16:28,2832,980,A1,benign
341,25/05/2025 17:16:28,2940,824,A1,benign
342,25/05/2025 17:16:27,6028,1556,A1,benign
343,25/05/2025 17:16:27,2812,1556,A1,benign
344,25/05/2025 17:16:25,6676,824,A1,benign
345,25/05/2025 17:16:24,4608,980,A1,benign
346,25/05/2025 17:16:24,6036,980,A1,benign
347,25/05/2025 17:16:24,7840,1556,A1,benign
348,25/05/2025 17:16:23,2600,824,A1,benign
349,25/05/2025 17:16:23,9160,7952,A1,benign
350,25/05/2025 17:16:23,5732,1556,A1,benign
351,25/05/2025 17:16:11,5092,9012,A1,benign
352,25/05/2025 17:16:11,9012,4496,A1,benign
353,25/05/2025 17:16:10,4496,5616,A1,benign
354,25/05/2025 17:15:43,3768,980,A1,benign
355,25/05/2025 17:15:43,8196,980,A1,benign
356,25/05/2025 17:15:43,1540,1416,A1,benign
357,25/05/2025 17:15:43,1416,4372,A1,benign
358,25/05/2025 17:15:42,4372,5616,A1,benign
359,25/05/2025 17:14:24,9200,980,A1,benign
360,25/05/2025 17:14:24,3172,980,A1,benign
361,25/05/2025 17:14:23,4508,824,A1,benign
362,25/05/2025 17:14:23,6976,7952,A1,benign
363,25/05/2025 17:14:23,5736,1556,A1,benign
364,25/05/2025 17:13:01,5144,980,A1,benign
365,25/05/2025 17:13:00,4304,5076,A1,benign
366,25/05/2025 17:13:00,5076,6456,A1,benign
367,25/05/2025 17:12:59,6456,5616,A1,benign
368,25/05/2025 17:12:55,7820,8000,A1,benign
369,25/05/2025 17:12:55,8000,1556,A1,benign
370,25/05/2025 17:11:52,3988,8308,A1,benign
371,25/05/2025 17:11:49,6764,824,A1,benign
372,25/05/2025 17:11:49,5704,980,A1,benign
373,25/05/2025 17:11:49,6220,980,A1,benign
374,25/05/2025 17:11:49,4572,1556,A1,benign
375,25/05/2025 17:11:44,5840,980,A1,benign
376,25/05/2025 17:11:43,5528,9272,A1,benign
377,25/05/2025 17:11:43,9272,3820,A1,benign
378,25/05/2025 17:11:43,4800,5640,A1,benign
379,25/05/2025 17:11:43,5640,3820,A1,benign
380,25/05/2025 17:11:27,5484,1556,A1,benign
381,25/05/2025 17:10:44,2744,980,A1,benign
382,25/05/2025 17:10:44,8152,980,A1,benign
383,25/05/2025 17:10:44,3048,5692,A1,benign
384,25/05/2025 17:10:44,5692,6372,A1,benign
385,25/05/2025 17:10:40,6372,5616,A1,benign
386,25/05/2025 17:10:05,1904,2900,A1,benign
387,25/05/2025 17:08:32,5684,980,A1,benign
388,25/05/2025 17:07:57,7500,980,A1,benign
389,25/05/2025 17:07:57,8152,980,A1,benign
390,25/05/2025 17:07:00,3124,9864,A1,benign
391,25/05/2025 17:06:51,1784,8308,A1,benign
392,25/05/2025 17:06:35,1248,6052,A1,benign
393,25/05/2025 17:06:35,6052,1556,A1,benign
394,25/05/2025 17:06:34,5220,1556,A1,benign
395,25/05/2025 17:06:27,5872,824,A1,benign
396,25/05/2025 17:06:27,4600,7364,A1,benign
397,25/05/2025 17:06:27,4540,1556,A1,benign
398,25/05/2025 17:06:27,7364,1556,A1,benign
399,25/05/2025 17:06:20,3744,1556,A1,benign
400,25/05/2025 17:06:16,7848,9864,A1,benign
401,25/05/2025 17:06:10,4456,1556,A1,benign
402,25/05/2025 17:05:48,4844,980,A1,benign
403,25/05/2025 17:05:48,1212,824,A1,benign
404,25/05/2025 17:05:47,1432,824,A1,benign
405,25/05/2025 17:05:45,3816,1184,A1,benign
406,25/05/2025 17:05:44,2236,980,A1,benign
407,25/05/2025 17:05:44,1784,980,A1,benign
408,25/05/2025 17:05:43,1184,1556,A1,benign
409,25/05/2025 17:05:43,5784,1556,A1,benign
410,25/05/2025 17:05:43,4108,824,A1,benign
411,25/05/2025 17:05:43,9396,5096,A1,benign
412,25/05/2025 17:05:43,5096,1556,A1,benign
413,25/05/2025 17:05:43,5636,1556,A1,benign
414,25/05/2025 17:05:43,9520,1556,A1,benign
415,25/05/2025 17:05:36,5696,9864,A1,benign
416,25/05/2025 17:05:24,8744,980,A1,benign
417,25/05/2025 17:05:24,8484,7448,A1,benign
418,25/05/2025 17:05:24,9548,7448,A1,benign
419,25/05/2025 17:05:24,7448,3820,A1,benign
420,25/05/2025 17:05:24,4264,3664,A1,benign
421,25/05/2025 17:05:14,4136,2900,A1,benign
422,25/05/2025 17:05:14,8164,980,A1,benign
423,25/05/2025 17:05:14,1100,8308,A1,benign
424,25/05/2025 17:05:01,6844,9864,A1,benign
425,25/05/2025 17:05:01,9572,9864,A1,benign
426,25/05/2025 17:05:01,2156,9864,A1,benign
427,25/05/2025 17:04:36,6432,8308,A1,benign
428,25/05/2025 17:04:33,1052,8308,A1,benign
429,25/05/2025 17:04:30,1156,8308,A1,benign
430,25/05/2025 17:04:30,5952,9864,A1,benign
431,25/05/2025 17:04:29,5644,8308,A1,benign
432,25/05/2025 17:04:29,5572,8308,A1,benign
433,25/05/2025 17:04:28,6084,4976,A1,benign
434,25/05/2025 17:04:24,9468,1556,A1,benign
435,25/05/2025 17:04:20,6696,1556,A1,benign
436,25/05/2025 17:04:03,4524,9864,A1,benign
437,25/05/2025 17:04:01,9148,9864,A1,benign
438,25/05/2025 17:03:59,3808,980,A1,benign
439,25/05/2025 17:03:59,3676,1556,A1,benign
440,25/05/2025 17:03:55,8852,980,A1,benign
441,25/05/2025 17:03:51,2260,8308,A1,benign
442,25/05/2025 17:03:51,2188,980,A1,benign
443,25/05/2025 17:03:50,2788,980,A1,benign
444,25/05/2025 17:03:50,3612,980,A1,benign
445,25/05/2025 17:03:47,6312,980,A1,benign
446,25/05/2025 17:03:47,704,5852,A1,benign
447,25/05/2025 17:03:46,6532,5852,A1,benign
448,25/05/2025 17:03:46,1868,5852,A1,benign
449,25/05/2025 17:03:46,2036,5852,A1,benign
450,25/05/2025 17:03:46,3008,980,A1,benign
451,25/05/2025 17:03:46,2200,5852,A1,benign
452,25/05/2025 17:03:46,5852,6332,A1,benign
453,25/05/2025 17:03:41,7584,9864,A1,benign
454,25/05/2025 17:03:29,3236,6868,A1,benign
455,25/05/2025 17:03:28,7344,980,A1,benign
456,25/05/2025 17:03:27,3004,980,A1,benign
457,25/05/2025 17:03:27,8996,824,A1,benign
458,25/05/2025 17:03:26,5332,824,A1,benign
459,25/05/2025 17:03:26,6868,7952,A1,benign
460,25/05/2025 17:03:26,7952,824,A1,benign
461,25/05/2025 17:03:25,2636,824,A1,benign
462,25/05/2025 17:03:25,7576,824,A1,benign
463,25/05/2025 17:03:25,6640,824,A1,benign
464,25/05/2025 17:03:25,9612,824,A1,benign
465,25/05/2025 17:03:25,7700,8488,A1,benign
466,25/05/2025 17:03:24,8488,824,A1,benign
467,25/05/2025 17:03:24,5520,824,A1,benign
468,25/05/2025 17:03:24,8040,824,A1,benign
469,25/05/2025 17:03:23,7884,9864,A1,benign
470,25/05/2025 17:03:19,4364,4584,A1,benign
471,25/05/2025 17:03:19,4584,1556,A1,benign
472,25/05/2025 17:03:17,5144,980,A1,benign
473,25/05/2025 17:03:10,4704,9864,A1,benign
474,25/05/2025 17:03:01,3608,824,A1,benign
475,25/05/2025 17:03:01,8948,824,A1,benign
476,25/05/2025 17:02:51,9012,8308,A1,benign
477,25/05/2025 17:02:51,3088,8308,A1,benign
478,25/05/2025 17:02:40,9032,5616,A1,benign
479,25/05/2025 17:02:35,1508,1556,A1,benign
480,25/05/2025 17:02:33,1696,980,A1,benign
481,25/05/2025 17:02:33,1284,980,A1,benign
482,25/05/2025 17:02:33,8032,5616,A1,benign
483,25/05/2025 17:02:32,5616,4976,A1,benign
484,25/05/2025 17:02:32,752,980,A1,benign
485,25/05/2025 17:02:32,488,980,A1,benign
